timestamp_ms,state,rawMoist,moist_pct,on_thresh,temp_c,humidity_pct,vpd_kpa,dht_ok,pump_on,water_raw,water_present
14771120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14772120,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14773120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14774121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,891,1
14775120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14776120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14777120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14778120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14779120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14780120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14781121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,891,1
14782120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14783120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14784120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14785120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14786120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14787120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14788121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14789120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14790120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14791120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14792120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14793120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14794120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14795121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14796120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14797120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14798120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14799120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14800120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14801120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14802121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14803120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14804120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14805120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14806120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14807120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14808120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14809121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,891,1
